Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
10-Apr-21,2021-04-10,Recovered,90328,10,1053,1,79,822,343,4983,15,0,5716,167,2525,1615,373,359,667,3350,2584,91,5,2741,53005,1,4,0,2,403,136,2385,562,2,1952,584,1,2207,317,1268,0
10-Apr-21,2021-04-10,Deceased,838,0,12,0,2,6,3,123,0,0,39,1,49,11,12,6,17,36,17,1,0,24,309,0,0,0,0,2,2,58,18,0,23,6,0,46,3,12,0
11-Apr-21,2021-04-11,Confirmed,169914,15,3495,4,352,3756,402,10521,76,0,10774,525,5469,3440,570,915,2296,10250,6986,15,5,5939,63294,10,28,29,5,1379,306,3039,5105,54,6618,3187,48,15276,1333,4398,0
11-Apr-21,2021-04-11,Recovered,75380,2,1198,0,36,1053,357,5982,20,0,5158,170,2976,1896,506,330,635,2638,2358,14,3,3306,34008,3,40,1,2,459,206,3121,1015,1,2314,787,0,2769,243,1773,0
11-Apr-21,2021-04-11,Deceased,904,0,9,0,1,6,3,122,0,0,48,2,54,16,0,5,21,40,16,0,0,24,349,1,0,0,2,0,2,59,10,0,22,7,0,67,8,10,0
12-Apr-21,2021-04-12,Confirmed,160838,11,3263,6,583,2999,424,13576,111,0,11491,476,6021,3818,1089,991,2366,9579,5692,125,14,6489,51751,18,26,7,11,1741,512,3451,5771,5,6711,2251,10,13604,1334,4511,0
12-Apr-21,2021-04-12,Recovered,96746,10,1091,1,98,636,375,4865,19,0,7665,231,2854,2298,381,418,937,2767,2474,16,1,3117,52312,22,23,10,0,538,232,3407,1291,2,2339,565,2,3197,605,1947,0
12-Apr-21,2021-04-12,Deceased,880,0,11,0,0,6,1,132,0,0,72,2,55,14,9,0,19,52,11,0,0,37,258,0,0,1,0,2,2,52,25,0,19,6,1,72,7,14,0
13-Apr-21,2021-04-13,Confirmed,185297,8,4228,14,590,4157,397,15121,98,0,13468,562,6690,3845,619,1269,2844,8778,7515,165,21,8998,60212,26,87,36,11,1784,418,2980,5528,25,6984,3052,62,17963,1925,4817,0
13-Apr-21,2021-04-13,Recovered,82271,4,1483,0,52,1047,381,4682,21,0,7972,236,2748,2109,408,493,1003,6079,2959,35,9,4070,31624,11,10,1,3,523,209,2612,1251,5,3289,778,7,3474,405,2278,0
13-Apr-21,2021-04-13,Deceased,1026,0,10,0,1,14,1,156,0,0,81,3,67,16,11,3,29,67,20,0,0,40,281,0,0,0,0,2,3,50,28,0,18,7,0,85,13,20,0
14-Apr-21,2021-04-14,Confirmed,199584,38,4157,10,385,4786,421,14250,104,0,17282,473,7410,5398,925,1086,3198,11265,8778,208,11,9720,58952,21,98,30,13,2267,476,3302,6200,21,7819,2157,39,20439,1953,5892,0
14-Apr-21,2021-04-14,Recovered,93425,24,1606,1,106,1189,417,4633,29,0,9952,245,2642,2166,252,372,1798,4364,2642,7,0,3657,39624,6,5,1,102,610,242,3173,1956,0,3464,821,22,4517,483,2297,0
14-Apr-21,2021-04-14,Deceased,1038,1,18,0,3,21,3,120,0,0,104,4,73,18,13,5,31,38,22,1,0,51,278,0,0,0,0,3,2,63,29,0,25,8,0,67,13,24,0
15-Apr-21,2021-04-15,Confirmed,216828,15,5086,8,499,6133,412,15256,103,0,16699,757,8152,5858,1034,1141,3480,14738,8126,186,56,10166,61695,18,97,37,42,2989,413,4311,6658,41,7987,3307,0,22339,2220,6769,0
